"","Date","Close","Volume","Ticker"
"25153",2019-06-27,10.188,1600,"SJ"
"25154",2019-06-28,10.188,0,"SJ"
"25155",2019-07-01,10.188,0,"SJ"
"25156",2019-07-02,9.89,5100,"SJ"
"25157",2019-07-03,9.89,0,"SJ"
"25158",2019-07-05,10.02,400,"SJ"
"25159",2019-07-08,10.02,0,"SJ"
"25160",2019-07-09,10.25,400,"SJ"
"25161",2019-07-10,10.29,1400,"SJ"
"25162",2019-07-11,10.09,201800,"SJ"
"25163",2019-07-12,10.054,6000,"SJ"
"25164",2019-07-15,10.035,900,"SJ"
"25165",2019-07-16,10.05,16000,"SJ"
"25166",2019-07-17,10.05,0,"SJ"
"25167",2019-07-18,10.05,417300,"SJ"
"25168",2019-07-19,10.08,300,"SJ"
"25169",2019-07-22,10.08,42500,"SJ"
"25170",2019-07-23,10.05,25000,"SJ"
"25171",2019-07-24,10.05,0,"SJ"
"25172",2019-07-25,10.03,4500,"SJ"
"25173",2019-07-26,10.06,4100,"SJ"
"25174",2019-07-29,10.05,5100,"SJ"
"25175",2019-07-30,10.1,2000,"SJ"
"25176",2019-07-31,10.1,0,"SJ"
"25177",2019-08-01,10.1,27600,"SJ"
"25178",2019-08-02,10.1,100,"SJ"
"25179",2019-08-05,10.1,100,"SJ"
"25180",2019-08-06,10.1,100,"SJ"
"25181",2019-08-07,10.1,100,"SJ"
"25182",2019-08-08,10.1,0,"SJ"
"25183",2019-08-09,10.09,110400,"SJ"
"25184",2019-08-12,10.09,110400,"SJ"
"25185",2019-08-13,10.09,110400,"SJ"
"25186",2019-08-14,10.06,2200,"SJ"
"25187",2019-08-15,10.08,32100,"SJ"
"25188",2019-08-16,10.08,0,"SJ"
"25189",2019-08-19,10.08,0,"SJ"
"25190",2019-08-20,10.08,0,"SJ"
"25191",2019-08-21,10.08,0,"SJ"
"25192",2019-08-22,10.09,800,"SJ"
"25193",2019-08-23,10.09,3000,"SJ"
"25194",2019-08-26,10.14,5200,"SJ"
"25195",2019-08-27,10.14,0,"SJ"
"25196",2019-08-28,10.14,0,"SJ"
"25197",2019-08-29,10.14,0,"SJ"
"25198",2019-08-30,10.1,1600,"SJ"
"25199",2019-09-03,10.1,0,"SJ"
"25200",2019-09-04,10.15,2400,"SJ"
"25201",2019-09-05,10.15,0,"SJ"
"25202",2019-09-06,10.15,0,"SJ"
"25203",2019-09-09,10.15,0,"SJ"
"25204",2019-09-10,10.15,0,"SJ"
"25205",2019-09-11,10.15,0,"SJ"
"25206",2019-09-12,10.15,0,"SJ"
"25207",2019-09-13,10.15,0,"SJ"
"25208",2019-09-16,10.15,0,"SJ"
"25209",2019-09-17,10.15,0,"SJ"
"25210",2019-09-18,10.15,0,"SJ"
"25211",2019-09-19,10.15,0,"SJ"
"25212",2019-09-20,10.15,0,"SJ"
"25213",2019-09-23,10.15,0,"SJ"
"25214",2019-09-24,10.15,1200,"SJ"
"25215",2019-09-25,10.15,0,"SJ"
"25216",2019-09-26,10.15,0,"SJ"
"25217",2019-09-27,10.15,3500,"SJ"
"25218",2019-09-30,10.15,0,"SJ"
"25219",2019-10-01,10.15,0,"SJ"
"25220",2019-10-02,10.35,282400,"SJ"
"25221",2019-10-03,10.15,10000,"SJ"
"25222",2019-10-04,10.15,0,"SJ"
"25223",2019-10-07,10.15,0,"SJ"
"25224",2019-10-08,10.15,200,"SJ"
"25225",2019-10-09,10.15,0,"SJ"
"25226",2019-10-10,10.1,300,"SJ"
"25227",2019-10-11,10.15,600,"SJ"
"25228",2019-10-14,10.15,0,"SJ"
"25229",2019-10-15,10.15,0,"SJ"
"25230",2019-10-16,10.2,1400,"SJ"
"25231",2019-10-17,10.2,0,"SJ"
"25232",2019-10-18,10.2,100,"SJ"
"25233",2019-10-21,10.2,0,"SJ"
"25234",2019-10-22,10.2,0,"SJ"
"25235",2019-10-23,10.15,5200,"SJ"
"25236",2019-10-24,10.15,0,"SJ"
"25237",2019-10-25,10.15,0,"SJ"
"25238",2019-10-28,10.15,0,"SJ"
"25239",2019-10-29,10.15,0,"SJ"
"25240",2019-10-30,10.15,100,"SJ"
"25241",2019-10-31,10.15,500,"SJ"
"25242",2019-11-01,10.14,21500,"SJ"
"25243",2019-11-04,10.14,0,"SJ"
"25244",2019-11-05,10.12,300,"SJ"
"25245",2019-11-06,10.11,100,"SJ"
"25246",2019-11-07,10.1,74700,"SJ"
"25247",2019-11-08,10.1,106500,"SJ"
"25248",2019-11-11,10.1,0,"SJ"
"25249",2019-11-12,10.15,5600,"SJ"
"25250",2019-11-13,10.15,2200,"SJ"
"25251",2019-11-14,10.15,0,"SJ"
"25252",2019-11-15,10.15,0,"SJ"
"25253",2019-11-18,10.15,0,"SJ"
"25254",2019-11-19,10.12,13700,"SJ"
"25255",2019-11-20,10.12,30700,"SJ"
"25256",2019-11-21,10.12,0,"SJ"
"25257",2019-11-22,10.12,0,"SJ"
"25258",2019-11-25,10.12,47200,"SJ"
"25259",2019-11-26,10.12,25100,"SJ"
"25260",2019-11-27,10.13,5000,"SJ"
"25261",2019-11-29,10.13,0,"SJ"
"25262",2019-12-02,10.13,6500,"SJ"
"25263",2019-12-03,10.12,70000,"SJ"
"25264",2019-12-04,10.12,0,"SJ"
"25265",2019-12-05,10.12,8800,"SJ"
"25266",2019-12-06,10.14,3500,"SJ"
"25267",2019-12-09,10.14,0,"SJ"
"25268",2019-12-10,10.13,3500,"SJ"
"25269",2019-12-11,10.13,0,"SJ"
"25270",2019-12-12,10.13,5000,"SJ"
"25271",2019-12-13,10.13,3000,"SJ"
"25272",2019-12-16,10.13,0,"SJ"
"25273",2019-12-17,10.13,0,"SJ"
"25274",2019-12-18,10.13,30000,"SJ"
"25275",2019-12-19,10.13,0,"SJ"
"25276",2019-12-20,10.12,54600,"SJ"
"25277",2019-12-23,10.12,0,"SJ"
"25278",2019-12-24,10.12,0,"SJ"
"25279",2019-12-26,10.14,9700,"SJ"
"25280",2019-12-27,10.14,0,"SJ"
"25281",2019-12-30,10.14,7000,"SJ"
"25282",2019-12-31,10.14,1100,"SJ"
"25283",2020-01-02,10.14,0,"SJ"
"25284",2020-01-03,10.14,0,"SJ"
"25285",2020-01-06,10.14,0,"SJ"
"25286",2020-01-07,10.2,61500,"SJ"
"25287",2020-01-08,10.2,7900,"SJ"
"25288",2020-01-09,10.2,0,"SJ"
"25289",2020-01-10,10.2,0,"SJ"
"25290",2020-01-13,10.2,0,"SJ"
"25291",2020-01-14,10.25,2500,"SJ"
"25292",2020-01-15,10.25,0,"SJ"
"25293",2020-01-16,10.25,0,"SJ"
"25294",2020-01-17,10.256,700,"SJ"
"25295",2020-01-21,10.201,300,"SJ"
"25296",2020-01-22,10.201,0,"SJ"
"25297",2020-01-23,10.2,18400,"SJ"
"25298",2020-01-24,10.2,0,"SJ"
"25299",2020-01-27,10.2,0,"SJ"
"25300",2020-01-28,10.2,0,"SJ"
"25301",2020-01-29,10.2,0,"SJ"
"25302",2020-01-30,10.2,0,"SJ"
"25303",2020-01-31,10.2,0,"SJ"
"25304",2020-02-03,10.25,5000,"SJ"
"25305",2020-02-04,10.25,0,"SJ"
"25306",2020-02-05,10.25,0,"SJ"
"25307",2020-02-06,10.25,0,"SJ"
"25308",2020-02-07,10.25,0,"SJ"
"25309",2020-02-10,10.29,20400,"SJ"
"25310",2020-02-11,10.29,10000,"SJ"
"25311",2020-02-12,10.291,12100,"SJ"
"25312",2020-02-13,10.291,0,"SJ"
"25313",2020-02-14,10.291,0,"SJ"
"25314",2020-02-18,10.29,5000,"SJ"
"25315",2020-02-19,10.29,10500,"SJ"
"25316",2020-02-20,10.29,0,"SJ"
"25317",2020-02-21,10.29,0,"SJ"
"25318",2020-02-24,10.29,0,"SJ"
"25319",2020-02-25,10.29,0,"SJ"
"25320",2020-02-26,10.29,6000,"SJ"
"25321",2020-02-27,10.29,200,"SJ"
"25322",2020-02-28,10.29,0,"SJ"
"25323",2020-03-02,10.3,100,"SJ"
"25324",2020-03-03,10.29,5000,"SJ"
"25325",2020-03-04,10.3,65200,"SJ"
"25326",2020-03-05,10.3,10000,"SJ"
"25327",2020-03-06,10.3,10900,"SJ"
"25328",2020-03-09,10.235,48900,"SJ"
"25329",2020-03-10,10.24,25300,"SJ"
"25330",2020-03-11,10.24,40800,"SJ"
"25331",2020-03-12,10.2,200,"SJ"
"25332",2020-03-13,10.2,0,"SJ"
"25333",2020-03-16,10.15,1300,"SJ"
"25334",2020-03-17,10.1,16200,"SJ"
"25335",2020-03-18,10.3,1100,"SJ"
"25336",2020-03-19,9.81,100,"SJ"
"25337",2020-03-20,9.886,1200,"SJ"
"25338",2020-03-23,9.9,1400,"SJ"
"25339",2020-03-24,9.95,23000,"SJ"
"25340",2020-03-25,10,1000,"SJ"
"25341",2020-03-26,10.2,4000,"SJ"
"25342",2020-03-27,10.05,118500,"SJ"
"25343",2020-03-30,10.05,0,"SJ"
"25344",2020-03-31,10.235,1300,"SJ"
"25345",2020-04-01,10.27,6000,"SJ"
"25346",2020-04-02,10.24,2900,"SJ"
"25347",2020-04-03,10.26,231800,"SJ"
"25348",2020-04-06,10.311,5700,"SJ"
"25349",2020-04-07,10.31,400,"SJ"
"25350",2020-04-08,10.33,10000,"SJ"
"25351",2020-04-09,10.34,20500,"SJ"
"25352",2020-04-13,10.35,20800,"SJ"
"25353",2020-04-14,10.35,12500,"SJ"
"25354",2020-04-15,10.35,5900,"SJ"
"25355",2020-04-16,10.34,32300,"SJ"
"25356",2020-04-17,10.34,4200,"SJ"
"25357",2020-04-20,10.4,7600,"SJ"
"25358",2020-04-21,10.335,269500,"SJ"
"25359",2020-04-22,10.349,190300,"SJ"
"25360",2020-04-23,10.343,2000,"SJ"
"25361",2020-04-24,10.45,56500,"SJ"
"25362",2020-04-27,10.45,1600,"SJ"
"25363",2020-04-28,10.45,0,"SJ"
"25364",2020-04-29,10.361,5600,"SJ"
"25365",2020-04-30,10.44,200,"SJ"
"25366",2020-05-01,10.24,23300,"SJ"
"25367",2020-05-04,9.5,2100,"SJ"
"25368",2020-05-05,8.9,6500,"SJ"
"25369",2020-05-06,6.75,78300,"SJ"
"25370",2020-05-07,8.92,54300,"SJ"
"25371",2020-05-08,9.55,72000,"SJ"
"25372",2020-05-11,8.45,10500,"SJ"
"25373",2020-05-12,8.175,25100,"SJ"
"25374",2020-05-13,7.45,12700,"SJ"
"25375",2020-05-14,7.01,20400,"SJ"
"25376",2020-05-15,7.1,23500,"SJ"
"25377",2020-05-18,6.54,42600,"SJ"
"25378",2020-05-19,6.4,10200,"SJ"
"25379",2020-05-20,6.55,19100,"SJ"
"25380",2020-05-21,5.55,46600,"SJ"
"25381",2020-05-22,6.24,25600,"SJ"
"25382",2020-05-26,6.28,48000,"SJ"
"25383",2020-05-27,6.52,22300,"SJ"
"25384",2020-05-28,6.78,102300,"SJ"
"25385",2020-05-29,6.81,91800,"SJ"
"25386",2020-06-01,6.8,21300,"SJ"
"25387",2020-06-02,6.975,41900,"SJ"
"25388",2020-06-03,7,20400,"SJ"
"25389",2020-06-04,7.037,36800,"SJ"
"25390",2020-06-05,6.553,42600,"SJ"
"25391",2020-06-08,6.397,10400,"SJ"
"25392",2020-06-09,6.21,15100,"SJ"
"25393",2020-06-10,6.245,25400,"SJ"
"25394",2020-06-11,6,32200,"SJ"
"25395",2020-06-12,6.15,5900,"SJ"
"25396",2020-06-15,6.48,35700,"SJ"
"25397",2020-06-16,6.1,38200,"SJ"
"25398",2020-06-17,6.18,2400,"SJ"
"25399",2020-06-18,6.16,2200,"SJ"
"25400",2020-06-19,6.2,27000,"SJ"
"25401",2020-06-22,6.1,6600,"SJ"
"25402",2020-06-23,6.14,3200,"SJ"
"25403",2020-06-24,6.1,22000,"SJ"
"25404",2020-06-25,6.24,10300,"SJ"
"25405",2020-06-26,6.26,8200,"SJ"
"25406",2020-06-29,6.11,2400,"SJ"
"25407",2020-06-30,6.11,4300,"SJ"
"25408",2020-07-01,6.1,100,"SJ"
"25409",2020-07-02,6.16,2300,"SJ"
"25410",2020-07-06,6.18,500,"SJ"
"25411",2020-07-07,6.34,2600,"SJ"
"25412",2020-07-08,6.22,5800,"SJ"
